0.0 26714.863022 0.0 0 0 0.0 0.0 []
0.085247 	 26638.014152 	 0.112994 	 1 	 1 	 51.72 	 0.085270 	 [19, 83]
0.083449 	 26603.627974 	 0.005650 	 2 	 1 	 22.13 	 0.042457 	 [25, 81, 83]
0.081384 	 26530.284986 	 0.115823 	 2 	 2 	 21.87 	 0.090907 	 [31, 35]
0.079251 	 26492.104023 	 0.031073 	 3 	 2 	 20.02 	 0.125515 	 [33, 80, 83]
0.064860 	 26468.468616 	 0.005650 	 4 	 2 	 23.79 	 0.061201 	 [14, 17, 79, 83]
0.062798 	 26425.478994 	 0.067796 	 5 	 2 	 21.70 	 0.138515 	 [83, 89]
0.056079 	 26382.921293 	 0.098870 	 5 	 3 	 20.71 	 0.157495 	 [63, 65]
0.055182 	 26362.783316 	 0.002825 	 6 	 3 	 19.14 	 0.037445 	 [0, 26, 83]
0.054592 	 26325.971393 	 0.070619 	 7 	 3 	 32.61 	 0.159010 	 [23, 83]
0.031935 	 26317.750193 	 0.000000 	 7 	 3 	 46.39 	 0.000000 	 [9, 16, 32, 35]
